"genotype"	"cluster_corrected"	"cluster"
"MPNAML08PL27_1F"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.2.2.1"
"MPNAML08PL26_11P"	NA	"del3_abn9_amp21"	"patient.1.2.2.1"
"MPNAML08PL27_5L"	NA	"del3_abn9_amp21"	"patient.1.2.2.1"
"MPNAML08PL27_7G"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.2.2.1"
"MPNAML08PL30_1L"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.2.2.1"
"MPNAML08PL30_5O"	NA	"del3_abn9_amp21"	"patient.1.2.2.1"
"MPNAML08PL30_7G"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.2.2.1"
"MPNAML08PL30_7K"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.2.2.1"
"MPNAML08PL30_9G"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.2.2.1"
"MPNAML08PL26_5B"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.2.2.2"
"MPNAML08PL26_3F"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.2.2.2"
"MPNAML08PL26_5G"	NA	"del3_abn9_amp21"	"patient.1.2.2.2"
"MPNAML08PL26_5P"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.2.2.2"
"MPNAML08PL27_15E"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.2.2.2"
"MPNAML08PL27_1D"	NA	"del3_abn9_amp21"	"patient.1.2.2.2"
"MPNAML08PL27_7J"	"TP53HET"	"del3_abn9_amp21"	"patient.1.2.2.2"
"MPNAML08PL28_7F"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.2.2.2"
"MPNAML08PL30_11O"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.2.2.2"
"MPNAML08PL30_3C"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.2.2.2"
"MPNAML08PL26_13O"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL26_11O"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL26_15D"	"TP53HET"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL26_15J"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL26_17L"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL26_19D"	NA	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL26_23F"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL26_23L"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL26_3J"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL26_5F"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL26_5M"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL26_5O"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL27_11L"	"preleukemic"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL27_13N"	"preleukemic"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL27_15A"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL27_15C"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL27_1H"	NA	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL27_1I"	NA	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL27_3F"	"preleukemic"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL27_5F"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL27_5G"	NA	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL27_5H"	"preleukemic"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL27_5I"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL27_5M"	NA	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL27_5O"	NA	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL27_5P"	NA	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL27_7N"	NA	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL27_7P"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL28_11D"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL28_13D"	NA	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL28_15D"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL28_3D"	"preleukemic"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL30_5A"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL30_5M"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.1.1.2"
"MPNAML08PL30_7O"	"TP53_multihit_HOM"	"del3_abn9_amp21"	"patient.1.1.1.2"
