"subcluster"	"genotype"	"stage"	"cluster_corrected"	"cluster"
"MPNAML23PL120_19O"	"patient.1.1.1.2"	"TP53_multihit_M2"	"GR006_CP"	"del5_del7_amp8_del12"	"patient.1.1.1.2"
"MPNAML23PL120_13O"	"patient.1.1.1.2"	"TP53_multihit_M2"	"GR006_CP"	"del5_del7_amp8_del12"	"patient.1.1.1.2"
"MPNAML23PL120_1E"	"patient.1.1.1.2"	"TP53_multihit_M2"	"GR006_AP"	"del5_del7_amp8_del12"	"patient.1.1.1.2"
"MPNAML23PL120_1K"	"patient.1.1.1.2"	"TP53_multihit_M2"	"GR006_AP"	"del5_del7_amp8_del12"	"patient.1.1.1.2"
"MPNAML23PL120_21M"	"patient.1.1.1.2"	"TP53_multihit_M2"	"GR006_CP"	"del5_del7_amp8_del12"	"patient.1.1.1.2"
"MPNAML23PL120_3K"	"patient.1.1.1.2"	"TP53_multihit_M2"	"GR006_AP"	"del5_del7_amp8_del12"	"patient.1.1.1.2"
"MPNAML23PL120_7G"	"patient.1.1.1.2"	"TP53_multihit_M2"	"GR006_AP"	"del5_del7_amp8_del12"	"patient.1.1.1.2"
"MPNAML23PL120_7M"	"patient.1.1.1.2"	"TP53_multihit_M2"	"GR006_AP"	"del5_del7_amp8_del12"	"patient.1.1.1.2"
"MPNAML23PL120_9E"	"patient.1.1.1.2"	"TP53_multihit_M2"	"GR006_AP"	"del5_del7_amp8_del12"	"patient.1.1.1.2"
"MPNAML23PL121_11E"	"patient.1.1.1.2"	"TP53_multihit_M2"	"GR006_AP"	"del5_del7_amp8_del12"	"patient.1.1.1.2"
"MPNAML23PL121_11G"	"patient.1.1.1.2"	"TP53_multihit_M2"	"GR006_AP"	"del5_del7_amp8_del12"	"patient.1.1.1.2"
"MPNAML23PL121_13M"	"patient.1.1.1.2"	"TP53_multihit_M2"	"GR006_CP"	"del5_del7_amp8_del12"	"patient.1.1.1.2"
"MPNAML23PL121_17I"	"patient.1.1.1.2"	"TP53HET"	"GR006_CP"	"del5_del7_amp8_del12"	"patient.1.1.1.2"
"MPNAML23PL121_21G"	"patient.1.1.1.2"	"TP53_multihit_M2"	"GR006_CP"	"del5_del7_amp8_del12"	"patient.1.1.1.2"
"MPNAML23PL121_5C"	"patient.1.1.1.2"	"TP53_multihit_M2"	"GR006_AP"	"del5_del7_amp8_del12"	"patient.1.1.1.2"
"MPNAML23PL121_7I"	"patient.1.1.1.2"	"TP53_multihit_M2"	"GR006_AP"	"del5_del7_amp8_del12"	"patient.1.1.1.2"
"MPNAML23PL121_9E"	"patient.1.1.1.2"	"TP53_multihit_M2"	"GR006_AP"	"del5_del7_amp8_del12"	"patient.1.1.1.2"
"MPNAML23PL122_11N"	"patient.1.1.1.2"	"TP53_multihit_M2"	"GR006_AP"	"del5_del7_amp8_del12"	"patient.1.1.1.2"
"MPNAML23PL122_13H"	"patient.1.1.1.2"	"TP53_multihit_M2"	"GR006_AP"	"del5_del7_amp8_del12"	"patient.1.1.1.2"
"MPNAML23PL122_13N"	"patient.1.1.1.2"	"TP53_multihit_M2"	"GR006_AP"	"del5_del7_amp8_del12"	"patient.1.1.1.2"
"MPNAML23PL122_13P"	"patient.1.1.1.2"	"TP53_multihit_M2"	"GR006_AP"	"del5_del7_amp8_del12"	"patient.1.1.1.2"
