"subcluster"	"genotype"	"cluster_corrected"	"cluster"
"MPNAML13PL60_13L"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL60_13G"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL60_15A"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL60_17N"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL60_19E"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL60_19O"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL60_21O"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL60_3G"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL60_3I"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL60_5A"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL60_9A"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL60_9P"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL61_13M"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL61_13O"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL61_21O"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL61_23A"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL61_23M"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL70_21O"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL70_7G"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_11I"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_11J"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_11K"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_13A"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_13C"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_13E"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_13M"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_15B"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_15C"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_15E"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_15F"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_15G"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_15H"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_15J"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_15K"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_15M"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_17B"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_17M"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_17P"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_19D"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_19F"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_19G"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_19J"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_19M"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_19O"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_19P"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_21I"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_21L"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_21O"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_23I"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_23J"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_23P"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_3D"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_3F"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_3H"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_3I"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_3J"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_3M"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_3N"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_3P"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_5B"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_5F"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_5H"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_5M"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_5P"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_7D"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_7J"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_7L"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_7N"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_9B"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_9G"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_9J"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_9L"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_9M"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL90_9N"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL92_11H"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL92_11P"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL92_13K"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL92_15O"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL92_15P"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL92_17H"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL92_17I"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL92_17L"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL92_17M"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL92_17P"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL92_19E"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL92_21N"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
