"genotype"	"cluster_corrected"	"cluster"
"MPNAML10PL39_11I"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL39_11H"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL39_11M"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL39_13E"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL39_13N"	NA	"del20"	"patient.1.1.2.1"
"MPNAML10PL39_17L"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL39_3A"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL39_3I"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL39_5B"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL39_5J"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL39_7N"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL39_9N"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL40_11G"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL40_1D"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL40_1G"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL40_3C"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL40_3N"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL40_5O"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL40_7F"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL40_7G"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL40_9G"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL40_9J"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL40_9N"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_11B"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_11I"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_17D"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_17I"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_17K"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_19F"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_21E"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_21J"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_21M"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_21N"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_23K"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_3C"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_3D"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_3G"	NA	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_5C"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_5D"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_5M"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_5O"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_5P"	NA	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_7I"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_7L"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_9G"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_9H"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL42_9L"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL46_19L"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL46_19N"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL46_23A"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL46_23B"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL46_7E"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL46_7F"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL47_11D"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL47_11I"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL47_19P"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL47_21F"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL49_15O"	NA	"del20"	"patient.1.1.2.1"
"MPNAML10PL49_19G"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL49_1K"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL49_21O"	NA	"del20"	"patient.1.1.2.1"
"MPNAML10PL49_21P"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL49_23A"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL49_3G"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL51_15D"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL51_15I"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
"MPNAML10PL51_15J"	"TP53_multihit_HOM"	"del20"	"patient.1.1.2.1"
