"subcluster"	"genotype"	"stage"	"cluster_corrected"	"cluster"
"MPNAML31PL170_19M"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL170_15G"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL171_11G"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL171_11J"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL171_23P"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL171_5A"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL171_7D"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL171_7K"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL171_7P"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL171_9K"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL172_11N"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL172_13K"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL172_15M"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL172_17J"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL172_19B"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL172_1O"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL172_21L"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL172_23K"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL172_23P"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL172_3M"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL172_3N"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL172_7H"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL172_7L"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL173_11J"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL173_11N"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL173_13L"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL173_15B"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL173_15G"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL173_15P"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL173_17D"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL173_19A"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL173_19I"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL173_1L"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL173_21C"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL173_21G"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL173_23P"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL173_3F"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL173_5C"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL174_13G"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL174_13H"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL174_13I"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL174_15A"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL174_21C"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL174_3G"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL174_3M"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL174_3P"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL174_5L"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL175_13B"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL175_17H"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL175_17N"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL175_1J"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL175_3H"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL175_5B"	"patient.1.2.2.1"	NA	"GR007_AP"	"cluster1"	"patient.1.2.2.1"
"MPNAML31PL170_19F"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL170_17E"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL171_11C"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL171_17D"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL171_17G"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL171_19G"	"patient.1.2.1.2"	NA	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL171_19H"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL171_1A"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL171_1I"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL171_1L"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL171_1M"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL171_23H"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL172_19P"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL172_3I"	"patient.1.2.1.2"	"TP53HET"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL173_1E"	"patient.1.2.1.2"	NA	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL173_1J"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL173_3D"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL173_5E"	"patient.1.2.1.2"	NA	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL173_9E"	"patient.1.2.1.2"	NA	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL174_11A"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL174_13D"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL174_19L"	"patient.1.2.1.2"	"TP53HET"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL174_1A"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL174_1H"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL174_1L"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL174_21D"	"patient.1.2.1.2"	NA	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL174_21J"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL174_23B"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL174_3I"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL175_13M"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL175_1A"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL175_1B"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL175_1C"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL175_3D"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
"MPNAML31PL175_5M"	"patient.1.2.1.2"	"TP53_multihit_M2"	"GR007_AP"	"cluster1"	"patient.1.2.1.2"
