"genotype"	"cluster_corrected"	"cluster"
"MPNAML22PL100_1K"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL100_19M"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL100_1P"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL100_21B"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL100_21E"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL100_21G"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL100_21K"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL100_23F"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL100_3J"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL100_5D"	NA	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL100_5E"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL100_5L"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL101_11G"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL101_1G"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL101_3O"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL101_5B"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL101_5D"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL101_5J"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL101_5O"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL101_7A"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL101_7B"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL101_7I"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL101_9A"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL99_11B"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL99_11E"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL99_11K"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL99_17E"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL99_17H"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL99_1O"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL99_5B"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL99_5E"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL99_5I"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL99_7K"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL99_9D"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL99_9E"	NA	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL99_9L"	"TP53_multihit_M2"	"abn19_abn21_amp2"	"patient.1.2.2.1"
"MPNAML22PL100_21M"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.2.2"
"MPNAML22PL100_19F"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_19E"	NA	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_19N"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_19P"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_1A"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_1D"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_1G"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_1H"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_1J"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_1L"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_1N"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_1O"	"TP53HET"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_21C"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_21D"	NA	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_21I"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_21L"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_21N"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_21P"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_23D"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_23E"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_23I"	NA	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_23J"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_23N"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_3A"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_3D"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_3F"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_3H"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_3I"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_3M"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_5B"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_5J"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_5K"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_11A"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_11C"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_11H"	NA	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_11O"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_11P"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_1C"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_1H"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_1J"	NA	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_1K"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_1L"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_1M"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_1P"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_21G"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_23G"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_23K"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_23L"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_23M"	NA	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_23O"	"TP53HET"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_23P"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_3A"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_3E"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_3F"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_3I"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_5G"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_5I"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_7E"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_7G"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_7J"	NA	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_7K"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_7L"	NA	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_7M"	NA	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_7P"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_9B"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_9D"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_9E"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_9F"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_9G"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_9H"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_9L"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL101_9N"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_11C"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_11G"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_11L"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_11O"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_17I"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_17K"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_17L"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_17M"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_17O"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_1F"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_1M"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_3B"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_3F"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_3G"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_3H"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_3I"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_3P"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_5D"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_5F"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_5L"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_5M"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_5O"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_5P"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_7D"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_7F"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_7G"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_7J"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_7M"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_7P"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_9C"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL99_9F"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.2"
"MPNAML22PL100_19B"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_19A"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_19C"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_19D"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_19G"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_19H"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_19I"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_19J"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_19K"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_19L"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_19O"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_1B"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_1E"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_1I"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_1M"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_21A"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_21F"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_21H"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_21J"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_21O"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_23A"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_23B"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_23C"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_23G"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_23K"	"TP53HET"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_23L"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_23M"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_23O"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_3B"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_3C"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_3E"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_3G"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_3K"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_3L"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_3N"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_3O"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_3P"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_5C"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_5F"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_5G"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_5H"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL100_5I"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_11D"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_11F"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_11I"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_11J"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_11K"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_11L"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_11M"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_11N"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_17C"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_1A"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_1D"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_1F"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_1I"	"TP53HET"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_23E"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_23F"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_23H"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_23I"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_23J"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_3C"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_3D"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_3J"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_3K"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_3L"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_3M"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_3P"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_5A"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_5C"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_5E"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_5F"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_5H"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_5L"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_5M"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_5N"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_5P"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_7C"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_7D"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_7F"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_9C"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_9I"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
"MPNAML22PL101_9M"	"TP53_multihit_M2"	"abn19_abn21"	"patient.1.2.1.1"
